"study_profile_code","study_profile_name","percentage","start_date","end_date","source"
"world_war_ii","World War II","43.7","7-Dec-1941","31-Dec-1946","https://www.benefits.va.gov/pension/wartimeperiod.asp"
"vietnam_war","Vietnam","11.01","28-Feb-1961","7-May-1975","https://www.benefits.va.gov/pension/wartimeperiod.asp"
"korean_conflict","Korea","12.62","27-Jun-1950","31-Jan-1955","https://www.benefits.va.gov/pension/wartimeperiod.asp"
"gulf_war","Gulf War","0.54","2-Aug-1990","28-Feb-1991","https://www.benefits.va.gov/pension/wartimeperiod.asp"
