SR.No,City,State,2012 estimate,2010 Census,2010 land area,2010 population density,Location
41,Colorado Springs,Colorado,"4,31,834","4,16,427",194.540 sq mi,"2,141 per sq mi",38.8673N 104.7607W
,,,,,503.858 km2,826 km-2,
42,Raleigh,North Carolina,"4,23,179","4,03,892",142.903 sq mi,"2,826 per sq mi",35.8302N 78.6414W
,,,,,370.117 km2,"1,091 km-2",
43,Omaha,Nebraska,"4,21,570","4,08,958",127.088 sq mi,"3,218 per sq mi",41.2647N 96.0419W
,,,,,329.157 km2,"1,242 km-2",
44,Miami,Florida,"4,13,892","3,99,457",35.871 sq mi,"11,136 per sq mi",25.7752N 80.2086W
,,,,,92.906 km2,"4,300 km-2",
45,Oakland,California,"4,00,740","3,90,724",55.786 sq mi,"7,004 per sq mi",37.7699N 122.2256W
,,,,,144.485 km2,"2,704 km-2",
46,Tulsa,Oklahoma,"3,93,987","3,91,906",196.754 sq mi,"1,992 per sq mi",36.1279N 95.9023W
,,,,,509.590 km2,769 km-2,
47,Minneapolis,Minnesota,"3,92,880","3,82,578",53.973 sq mi,"7,088 per sq mi",44.9633N 93.2683W
,,,,,139.789 km2,"2,737 km-2",
48,Cleveland,Ohio,"3,90,928","3,96,815",77.697 sq mi,"5,107 per sq mi",41.4781N 81.6795W
,,,,,201.234 km2,"1,972 km-2",
49,Wichita,Kansas,"3,85,577","3,82,368",159.295 sq mi,"2,400 per sq mi",37.6907N 97.3427W
,,,,,412.571 km2,927 km-2,
50,Arlington,Texas,"3,75,600","3,65,438",95.882 sq mi,"3,811 per sq mi",32.7007N 97.1247W
,,,,,248.332 km2,"1,472 km-2",
51,New Orleans,Louisiana,"3,69,250","3,43,829",169.423 sq mi,"2,029 per sq mi",30.0686N 89.9390W
,,,,,438.803 km2,784 km-2,
52,Bakersfield,California,"3,58,597","3,47,483",142.164 sq mi,"2,444 per sq mi",35.3212N 119.0183W
,,,,,368.204 km2,944 km-2,
53,Tampa,Florida,"3,47,645","3,35,709",113.409 sq mi,"2,960 per sq mi",27.9701N 82.4797W
,,,,,293.728 km2,"1,143 km-2",
54,Honolulu,Hawai'i,"3,45,610","3,37,256",60.521 sq mi,"5,573 per sq mi",21.3259N 157.8453W
,,,,,156.748 km2,"2,152 km-2",
55,Anaheim,California,"3,43,248","3,36,265",49.835 sq mi,"6,748 per sq mi",33.8555N 117.7601W
,,,,,129.073 km2,"2,605 km-2",
56,Aurora,Colorado,"3,39,030","3,25,078",154.100 sq mi,"2,110 per sq mi",32.7007N 97.1247W
,,,,,369.100 km2,881 km-2,
