SR.No,City,State,2012 estimate,2010 Census,2010 land area,2010 population density,Location
177,McKinney,Texas,"1,43,223","1,31,117",62.209 sq mi,"2,108 per sq mi",33.2012N 96.6680W
,,,,,161.120 km2,814 km-2,
178,Mesquite,Texas,"1,43,195","1,39,824",46.021 sq mi,"3,038 per sq mi",32.7639N 96.5924W
,,,,,119.194 km2,"1,173 km-2",
179,Clarksville,Tennessee,"1,42,519","1,32,929",97.603 sq mi,"1,362 per sq mi",36.5664N 87.3452W
,,,,,252.789 km2,526 km-2,
180,Savannah,Georgia,"1,42,022","1,36,286",103.151 sq mi,"1,321 per sq mi",32.0025N 81.1536W
,,,,,267.160 km2,510 km-2,
181,Dayton,Ohio,"1,41,359","1,41,527",55.652 sq mi,"2,543 per sq mi",39.7774N 84.1996W
,,,,,144.139 km2,982 km-2,
182,Orange,California,"1,39,419","1,36,416",24.797 sq mi,"5,501 per sq mi",33.8048N 117.8249W
,,,,,64.224 km2,"2,124 km-2",
183,Fullerton,California,"1,38,574","1,35,161",22.353 sq mi,"6,047 per sq mi",33.8857N 117.9280W
,,,,,57.893 km2,"2,335 km-2",
184,Pasadena,California,"1,38,547","1,37,122",22.970 sq mi,"5,970 per sq mi",34.1606N 118.1396W
,,,,,59.493 km2,"2,305 km-2",
185,Hampton,Virginia,"1,36,836","1,37,436",51.413 sq mi,"2,673 per sq mi",37.0480N 76.2971W
,,,,,133.160 km2,"1,032 km-2",
186,McAllen,Texas,"1,34,719","1,29,877",48.344 sq mi,"2,687 per sq mi",26.2185N 98.2461W
,,,,,125.209 km2,"1,037 km-2",
187,Killeen,Texas,"1,34,654","1,27,921",53.580 sq mi,"2,387 per sq mi",31.0777N 97.7320W
,,,,,138.773 km2,922 km-2,
188,Warren,Michigan,"1,34,141","1,34,056",34.381 sq mi,"3,899 per sq mi",42.4929N 83.0250W
,,,,,89.045 km2,"1,505 km-2",
189,West Valley City,Utah,"1,32,434","1,29,480",35.556 sq mi,"3,642 per sq mi",40.6885N 112.0118W
,,,,,92.090 km2,"1,406 km-2",
190,Columbia,South Carolina,"1,31,686","1,29,272",132.213 sq mi,978 per sq mi,34.0298N 80.8966W
,,,,,342.431 km2,378 km-2,
191,New Haven,Connecticut,"1,30,741","1,29,779",18.679 sq mi,"6,948 per sq mi",41.3108N 72.9250W
,,,,,48.377 km2,"2,683 km-2",
192,Sterling Heights,Michigan,"1,30,410","1,29,699",36.505 sq mi,"3,553 per sq mi",42.5812N 83.0303W
,,,,,94.547 km2,"1,372 km-2",
193,Olathe,Kansas,"1,30,045","1,25,872",59.661 sq mi,"2,110 per sq mi",38.8843N 94.8188W
,,,,,154.521 km2,815 km-2,
194,Miramar,Florida,"1,28,729","1,22,041",29.521 sq mi,"4,134 per sq mi",25.9770N 80.3358W
,,,,,76.458 km2,"1,596 km-2",
195,Thousand Oaks,California,"1,28,412","1,26,683",55.031 sq mi,"2,302 per sq mi",34.1933N 118.8742W
,,,,,142.530 km2,889 km-2,
196,Frisco,Texas,"1,28,176","1,16,989",61.804 sq mi,"1,893 per sq mi",33.1510N 96.8193W
,,,,,160.071 km2,731 km-2,
197,Cedar Rapids,Iowa,"1,28,119","1,26,326",70.799 sq mi,"1,784 per sq mi",41.9670N 91.6778W
,,,,,183.368 km2,689 km-2,
198,Topeka,Kansas,"1,27,939","1,27,473",60.168 sq mi,"2,119 per sq mi",39.0362N 95.6948W
,,,,,155.833 km2,818 km-2,
199,Visalia,California,"1,27,081","1,24,442",36.246 sq mi,"3,433 per sq mi",36.3272N 119.3234W
,,,,,93.876 km2,"1,326 km-2",
200,Waco,Texas,"1,27,018","1,24,805",88.964 sq mi,"1,403 per sq mi",31.5601N 97.1860W
,,,,,230.416 km2,542 km-2,
201,Elizabeth,New Jersey,"1,26,458","1,24,969",12.319 sq mi,"10,144 per sq mi",40.6663N 74.1935W
,,,,,31.907 km2,"3,917 km-2",
202,Bellevue,Washington,"1,26,439","1,22,363",31.968 sq mi,"3,828 per sq mi",47.5978N 122.1565W
,,,,,82.796 km2,"1,478 km-2",
203,Gainesville,Florida,"1,26,047","1,24,354",61.305 sq mi,"2,028 per sq mi",29.6788N 82.3459W
,,,,,158.779 km2,783 km-2,
204,Simi Valley,California,"1,25,793","1,24,237",41.480 sq mi,"2,995 per sq mi",34.2669N 118.7485W
,,,,,107.433 km2,"1,156 km-2",
205,Charleston,South Carolina,"1,25,583","1,20,083",108.979 sq mi,"1,102 per sq mi",32.8179N 79.9589W
,,,,,282.253 km2,425 km-2,
206,Carrollton,Texas,"1,25,409","1,19,097",36.296 sq mi,"3,281 per sq mi",32.9884N 96.8998W
,,,,,94.007 km2,"1,267 km-2",
207,Coral Springs,Florida,"1,25,287","1,21,096",23.792 sq mi,"5,090 per sq mi",26.2708N 80.2593W
,,,,,61.620 km2,"1,965 km-2",
208,Stamford,Connecticut,"1,25,109","1,22,643",37.639 sq mi,"3,258 per sq mi",41.0799N 73.5460W
,,,,,97.483 km2,"1,258 km-2",
209,Hartford,Connecticut,"1,24,893","1,24,775",17.381 sq mi,"7,179 per sq mi",41.7660N 72.6833W
,,,,,45.016 km2,"2,772 km-2",
210,Concord,California,"1,24,711","1,22,067",30.546 sq mi,"3,996 per sq mi",37.9722N 122.0016W
,,,,,79.114 km2,"1,543 km-2",
211,Roseville,California,"1,24,519","1,18,788",36.222 sq mi,"3,279 per sq mi",38.7657N 121.3032W
,,,,,93.814 km2,"1,266 km-2",
212,Thornton,Colorado,"1,24,140","1,18,772",34.843 sq mi,"3,409 per sq mi",39.9180N 104.9454W
,,,,,90.243 km2,"1,316 km-2",
213,Kent,Washington,"1,22,999","92,411",28.625 sq mi,"3,228 per sq mi",47.3853N 122.2169W
,,,,,74.139 km2,"1,246 km-2",
214,Lafayette,Louisiana,"1,22,761","1,20,623",49.231 sq mi,"2,450 per sq mi",30.2116N 92.0314W
,,,,,127.509 km2,946 km-2,
215,Surprise,Arizona,"1,21,287","1,17,517",105.747 sq mi,"1,111 per sq mi",33.6706N 112.4527W
,,,,,273.884 km2,429 km-2,
216,Denton,Texas,"1,21,123","1,13,383",87.952 sq mi,"1,289 per sq mi",33.2151N 97.1417W
,,,,,227.794 km2,498 km-2,
217,Victorville,California,"1,20,336","1,15,903",73.178 sq mi,"1,584 per sq mi",34.5277N 117.3536W
,,,,,189.529 km2,612 km-2,
218,Evansville,Indiana,"1,20,235","1,17,429",44.153 sq mi,"2,660 per sq mi",37.9877N 87.5347W
,,,,,114.357 km2,"1,027 km-2",
219,Midland,Texas,"1,19,385","1,11,147",72.071 sq mi,"1,542 per sq mi",32.0299N 102.1097W
,,,,,186.663 km2,595 km-2,
220,Santa Clara,California,"1,19,311","1,16,468",18.407 sq mi,"6,327 per sq mi",37.3646N 121.9679W
,,,,,47.675 km2,"2,443 km-2",
221,Athens,Georgia,"1,18,999","1,15,452",116.355 sq mi,992 per sq mi,33.9496N 83.3701W
,,,,,301.358 km2,383 km-2,
222,Allentown,Pennsylvania,"1,18,974","1,18,032",17.546 sq mi,"6,727 per sq mi",40.5940N 75.4782W
,,,,,45.443 km2,"2,597 km-2",
223,Abilene,Texas,"1,18,887","1,17,063",106.793 sq mi,"1,096 per sq mi",32.4545N 99.7381W
,,,,,276.592 km2,423 km-2,
224,Beaumont,Texas,"1,18,228","1,18,296",82.801 sq mi,"1,429 per sq mi",30.0843N 94.1458W
,,,,,214.452 km2,552 km-2,
225,Vallejo,California,"1,17,796","1,15,942",30.671 sq mi,"3,780 per sq mi",38.1079N 122.2639W
,,,,,79.439 km2,"1,460 km-2",
226,Independence,Missouri,"1,17,270","1,16,830",77.567 sq mi,"1,506 per sq mi",39.0853N 94.3513W
,,,,,200.897 km2,582 km-2,
227,Springfield,Illinois,"1,17,126","1,16,250",59.480 sq mi,"1,954 per sq mi",39.7639N 89.6708W
,,,,,154.051 km2,755 km-2,
228,Ann Arbor,Michigan,"1,16,121","1,13,934",27.830 sq mi,"4,094 per sq mi",42.2756N 83.7313W
,,,,,72.079 km2,"1,581 km-2",
229,Provo,Utah,"1,15,919","1,12,488",41.673 sq mi,"2,699 per sq mi",40.2453N 111.6448W
,,,,,107.931 km2,"1,042 km-2",
230,Peoria,Illinois,"1,15,687","1,15,007",48.007 sq mi,"2,396 per sq mi",40.7523N 89.6171W
,,,,,124.338 km2,925 km-2,
231,Norman,Oklahoma,"1,15,562","1,10,925",178.763 sq mi,621 per sq mi,35.2406N 97.3453W
,,,,,462.995 km2,240 km-2,
232,Berkeley,California,"1,15,403","1,12,580",10.470 sq mi,"10,752 per sq mi",37.8667N 122.2991W
,,,,,27.118 km2,"4,152 km-2",
233,El Monte,California,"1,15,111","1,13,475",9.562 sq mi,"11,867 per sq mi",34.0746N 118.0291W
,,,,,24.766 km2,"4,582 km-2",
234,Murfreesboro,Tennessee,"1,14,038","1,08,755",55.346 sq mi,"1,965 per sq mi",35.8522N 86.4161W
,,,,,143.347 km2,759 km-2,
235,Lansing,Michigan,"1,13,996","1,14,297",36.049 sq mi,"3,171 per sq mi",42.7098N 84.5562W
,,,,,93.366 km2,"1,224 km-2",
236,Columbia,Missouri,"1,13,225","1,08,500",63.077 sq mi,"1,720 per sq mi",38.9479N 92.3261W
,,,,,163.367 km2,664 km-2,
237,Downey,California,"1,12,873","1,11,772",12.408 sq mi,"9,008 per sq mi",33.9382N 118.1309W
,,,,,32.137 km2,"3,478 km-2",
238,Costa Mesa,California,"1,11,918","1,09,960",15.654 sq mi,"7,025 per sq mi",33.6659N 117.9123W
,,,,,40.543 km2,"2,712 km-2",
239,Inglewood,California,"1,11,182","1,09,673",9.068 sq mi,"12,095 per sq mi",33.9561N 118.3443W
,,,,,23.486 km2,"4,670 km-2",
240,Miami Gardens,Florida,"1,10,754","1,07,167",18.231 sq mi,"5,878 per sq mi",25.9489N 80.2436W
,,,,,47.217 km2,"2,270 km-2",
241,Manchester,New Hampshire,"1,10,209","1,09,565",33.101 sq mi,"3,310 per sq mi",42.9847N 71.4439W
,,,,,85.730 km2,"1,278 km-2",
242,Elgin,Illinois,"1,09,927","1,08,188",37.163 sq mi,"2,911 per sq mi",42.0396N 88.3217W
,,,,,96.253 km2,"1,124 km-2",
243,Wilmington,North Carolina,"1,09,922","1,06,476",51.493 sq mi,"2,068 per sq mi",34.2092N 77.8858W
,,,,,133.366 km2,798 km-2,
244,Waterbury,Connecticut,"1,09,915","1,10,366",28.519 sq mi,"3,870 per sq mi",41.5585N 73.0367W
,,,,,73.864 km2,"1,494 km-2",
245,Fargo,North Dakota,"1,09,779","1,05,549",48.821 sq mi,"2,162 per sq mi",46.8652N 96.8290W
,,,,,126.446 km2,835 km-2,
246,Arvada,Colorado,"1,09,745","1,06,433",35.142 sq mi,"3,029 per sq mi",39.8097N 105.1066W
,,,,,91.018 km2,"1,169 km-2",
247,Carlsbad,California,"1,09,318","1,05,328",37.722 sq mi,"2,792 per sq mi",33.1239N 117.2828W
,,,,,97.699 km2,"1,078 km-2",
248,Westminster,Colorado,"1,09,169","1,06,114",31.550 sq mi,"3,363 per sq mi",39.8822N 105.0644W
,,,,,81.715 km2,"1,299 km-2",
249,Rochester,Minnesota,"1,08,992","1,06,769",54.586 sq mi,"1,956 per sq mi",44.0154N 92.4772W
,,,,,141.377 km2,755 km-2,
250,Gresham,Oregon,"1,08,956","1,05,594",23.201 sq mi,"4,551 per sq mi",45.5023N 122.4416W
,,,,,60.090 km2,"1,757 km-2",
251,Clearwater,Florida,"1,08,732","1,07,685",25.562 sq mi,"4,213 per sq mi",27.9795N 82.7663W
,,,,,66.204 km2,"1,627 km-2",
252,Lowell,Massachusetts,"1,08,522","1,06,519",13.583 sq mi,"7,842 per sq mi",42.6389N 71.3221W
,,,,,35.180 km2,"3,028 km-2",
253,West Jordan,Utah,"1,08,383","1,03,712",32.457 sq mi,"3,195 per sq mi",40.6023N 112.0010W
,,,,,84.063 km2,"1,234 km-2",
254,Pueblo,Colorado,"1,07,772","1,06,595",53.641 sq mi,"1,987 per sq mi",38.2731N 104.6124W
,,,,,138.930 km2,767 km-2,
255,San Buenaventura (Ventura),California,"1,07,734","1,06,433",21.655 sq mi,"4,915 per sq mi",34.2681N 119.2550W
,,,,,56.085 km2,"1,898 km-2",
256,Fairfield,California,"1,07,684","1,05,321",37.390 sq mi,"2,817 per sq mi",38.2568N 122.0397W
,,,,,96.839 km2,"1,088 km-2",
257,West Covina,California,"1,07,440","1,06,098",16.041 sq mi,"6,614 per sq mi",34.0559N 117.9099W
,,,,,41.545 km2,"2,554 km-2",
258,Billings,Montana,"1,06,954","1,04,170",43.413 sq mi,"2,399 per sq mi",45.7895N 108.5499W
,,,,,112.440 km2,926 km-2,
259,Murrieta,California,"1,06,810","1,03,466",33.577 sq mi,"3,081 per sq mi",33.5719N 117.1907W
,,,,,86.964 km2,"1,190 km-2",
260,High Point,North Carolina,"1,06,586","1,04,371",53.803 sq mi,"1,940 per sq mi",35.9855N 79.9902W
,,,,,139.348 km2,749 km-2,
261,Round Rock,Texas,"1,06,573","99,887",34.113 sq mi,"2,928 per sq mi",30.5237N 97.6674W
,,,,,88.352 km2,"1,131 km-2",
262,Richmond,California,"1,06,516","1,03,701",30.068 sq mi,"3,449 per sq mi",37.9530N 122.3594W
,,,,,77.875 km2,"1,332 km-2",
263,Cambridge,Massachusetts,"1,06,471","1,05,162",6.385 sq mi,"16,469 per sq mi",42.3760N 71.1183W
,,,,,16.538 km2,"6,359 km-2",
264,Norwalk,California,"1,06,278","1,05,549",9.707 sq mi,"10,873 per sq mi",33.9069N 118.0834W
,,,,,25.141 km2,"4,198 km-2",
265,Odessa,Texas,"1,06,102","99,940",41.955 sq mi,"2,382 per sq mi",31.8804N 102.3434W
,,,,,108.662 km2,920 km-2,
266,Antioch,California,"1,05,508","1,02,372",28.349 sq mi,"3,611 per sq mi",37.9775N 121.7976W
,,,,,73.422 km2,"1,394 km-2",
267,Temecula,California,"1,05,208","1,00,097",30.151 sq mi,"3,320 per sq mi",33.5019N 117.1246W
,,,,,78.092 km2,"1,282 km-2",
268,Green Bay,Wisconsin,"1,04,868","1,04,057",45.467 sq mi,"2,289 per sq mi",44.5207N 87.9842W
,,,,,117.758 km2,884 km-2,
269,Everett,Washington,"1,04,655","1,03,019",33.447 sq mi,"3,080 per sq mi",48.0033N 122.1742W
,,,,,86.628 km2,"1,189 km-2",
270,Wichita Falls,Texas,"1,04,552","1,04,553",72.140 sq mi,"1,449 per sq mi",33.9067N 98.5259W
,,,,,186.841 km2,560 km-2,
271,Burbank,California,"1,04,391","1,03,340",17.341 sq mi,"5,959 per sq mi",34.1890N 118.3249W
,,,,,44.913 km2,"2,301 km-2",
272,Palm Bay,Florida,"1,04,124","1,03,190",65.702 sq mi,"1,571 per sq mi",27.9856N 80.6626W
,,,,,170.168 km2,606 km-2,
273,Centennial,Colorado,"1,03,743","1,00,377",28.722 sq mi,"3,495 per sq mi",39.5906N 104.8691W
,,,,,74.390 km2,"1,349 km-2",
274,Daly City,California,"1,03,690","1,01,123",7.664 sq mi,"13,195 per sq mi",37.7009N 122.4650W
,,,,,19.849 km2,"5,095 km-2",
275,Richardson,Texas,"1,03,297","99,223",28.564 sq mi,"3,474 per sq mi",32.9723N 96.7081W
,,,,,73.980 km2,"1,341 km-2",
276,Pompano Beach,Florida,"1,02,984","99,845",24.002 sq mi,"4,160 per sq mi",26.2426N 80.1290W
,,,,,62.165 km2,"1,606 km-2",
277,Broken Arrow,Oklahoma,"1,02,019","98,850",61.571 sq mi,"1,605 per sq mi",36.0365N 95.7810W
,,,,,159.469 km2,620 km-2,
278,North Charleston,South Carolina,"1,01,989","97,471",,,32.8853N 80.0169W
279,West Palm Beach,Florida,"1,01,903","99,919",55.293 sq mi,"1,807 per sq mi",26.7483N 80.1266W
,,,,,143.208 km2,698 km-2,
280,Boulder,Colorado,"1,01,808","97,385",,,40.0175N 105.2797W
281,Rialto,California,"1,01,740","99,171",22.351 sq mi,"4,437 per sq mi",34.1118N 117.3883W
,,,,,57.889 km2,"1,713 km-2",
282,Santa Maria,California,"1,01,459","99,553",22.756 sq mi,"4,375 per sq mi",34.9332N 120.4438W
,,,,,58.937 km2,"1,689 km-2",
283,El Cajon,California,"1,01,435","99,478",14.433 sq mi,"6,892 per sq mi",32.8017N 116.9605W
,,,,,37.381 km2,"2,661 km-2",
284,Davenport,Iowa,"1,01,363","99,685",62.948 sq mi,"1,584 per sq mi",41.5541N 90.6040W
,,,,,163.033 km2,611 km-2,
285-(T),Erie,Pennsylvania,"1,01,047","1,01,786",19.081 sq mi,"5,334 per sq mi",42.1166N 80.0735W
,,,,,49.419 km2,"2,060 km-2",
285-(T),Las Cruces,New Mexico,"1,01,047","97,618",76.29 sq mi,"1,279 per sq mi",32.3197N 106.7653W
,,,,,197.59 km2,494 km-2,
287,South Bend,Indiana,"1,00,800","1,01,168",41.458 sq mi,"2,440 per sq mi",41.6769N 86.2690W
,,,,,107.375 km2,942 km-2,
288,Flint,Michigan,"1,00,515","1,02,434",33.416 sq mi,"3,065 per sq mi",43.0244N 83.6920W
,,,,,86.547 km2,"1,184 km-2",
289,Kenosha,Wisconsin,"1,00,150","99,218",,,42.5822N 87.8456W
,,,,,,,
,,,,,,,
For more other formats please visit: www.downloadexcelfiles.com,,,,,,,
